"","Rk","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
"525","416","Mitchell Robinson","C","21","NYK","61","7","1412","253","341",".742","0","0","","253","341",".742",".742","84","148",".568","186","242","428","36","52","119","37","194","590"
"526","417","Isaiah Roby","SF","21","OKC","3","0","11","0","1",".000","0","0","","0","1",".000",".000","0","0","","0","2","2","0","0","0","1","1","0"
"527","418","Rajon Rondo","PG","33","LAL","48","3","984","137","328",".418","41","125",".328","96","203",".473",".480","27","41",".659","23","119","142","240","40","2","91","58","342"
"528","419","Derrick Rose","PG","31","DET","50","15","1298","369","753",".490","45","147",".306","324","606",".535",".520","121","139",".871","27","94","121","278","40","16","126","49","904"
"529","420","Terrence Ross","SG","28","ORL","63","0","1723","316","777",".407","162","454",".357","154","323",".477",".511","136","161",".845","13","190","203","74","69","22","62","95","930"
"530","Rk","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
"531","421","Terry Rozier","PG","25","CHO","63","63","2164","398","941",".423","172","423",".407","226","518",".436",".514","166","190",".874","50","226","276","259","61","10","141","126","1134"
"532","422","Ricky Rubio","PG","29","PHO","57","57","1802","252","611",".412","66","188",".351","186","423",".440",".466","174","204",".853","42","223","265","507","88","9","155","143","744"
"533","423","D'Angelo Russell","PG","23","TOT","45","45","1452","360","846",".426","158","431",".367","202","415",".487",".519","161","199",".809","17","160","177","285","48","13","147","86","1039"
"534","423","D'Angelo Russell","PG","23","GSW","33","33","1060","273","635",".430","120","321",".374","153","314",".487",".524","113","144",".785","14","108","122","206","31","9","101","64","779"
"535","423","D'Angelo Russell","PG","23","MIN","12","12","392","87","211",".412","38","110",".345","49","101",".485",".502","48","55",".873","3","52","55","79","17","4","46","22","260"
"536","424","Domantas Sabonis","C","23","IND","62","62","2159","458","848",".540","17","67",".254","441","781",".565",".550","214","296",".723","189","582","771","310","47","30","170","195","1147"
"537","425","Luka Šamanic","PF","20","SAS","1","0","12","0","4",".000","0","2",".000","0","2",".000",".000","0","0","","0","2","2","3","0","0","0","0","0"
"538","426","JaKarr Sampson","SF","26","IND","26","10","340","48","81",".593","2","13",".154","46","68",".676",".605","11","20",".550","15","44","59","9","9","9","7","43","109"
"539","427","Dario Šaric","PF","25","PHO","58","50","1441","217","470",".462","73","214",".341","144","256",".563",".539","79","95",".832","89","256","345","109","34","15","72","132","586"
"540","428","Tomáš Satoranský","PG","28","CHI","65","64","1878","237","551",".430","64","199",".322","173","352",".491",".488","106","121",".876","76","178","254","354","80","7","130","135","644"
"541","429","Admiral Schofield","SF","22","WAS","27","2","293","30","75",".400","14","47",".298","16","28",".571",".493","9","13",".692","6","28","34","14","8","3","7","41","83"
"542","430","Dennis Schröder","PG","26","OKC","63","1","1952","442","945",".468","122","320",".381","320","625",".512",".532","193","230",".839","19","214","233","256","43","14","159","138","1199"
