"","pk","Player","Yr","Yrs","allstar","allstar.pred","PC1","PC2"
"44",14,"Gorgui Dieng",2013,7,0,-0.0508564465605392,-0.580269406362345,2.37112935677839
"45",15,"Cody Zeller",2013,7,0,-0.0516504393410887,-0.62725600623298,3.70075267353839
"46",16,"Alex Len",2013,7,0,-0.0519087296961598,-1.75845722721087,3.61560578155626
"47",17,"Trey Burke",2013,7,0,-0.0373773802797697,-2.73235120190403,-2.5379494096599
"48",18,"Allen Crabbe",2013,7,0,-0.0368178687243129,-2.76542318416467,-2.33208018187658
"49",19,"Reggie Bullock",2013,7,0,-0.026403064195642,-3.38676393024928,-2.63206123780661
"50",20,"Ben McLemore",2013,7,0,-0.0262527700141083,-3.39597904713067,-2.08868070408313
"51",21,"James Ennis",2013,6,0,-0.0197665234597916,-3.80729788859684,-0.128387722977096
"52",22,"Tony Snell",2013,7,0,-0.0169289198169156,-3.99749458375146,-2.07962127546071
"53",23,"Mike Muscala",2013,7,0,-0.0151963075863939,-4.11734922309161,-0.262257153216612
"54",24,"Shabazz Muhammad",2013,5,0,-0.0132737701501967,-4.25401188212999,-0.0120222639951786
"55",25,"Solomon Hill",2013,7,0,-0.0124400539609163,-4.31454182449957,-1.88191434404109
"56",26,"Andre Roberson",2013,5,0,-0.00945514150520721,-4.53786886666144,3.17108521551166
"57",27,"Isaiah Canaan",2013,6,0,-0.00705644491230162,-4.7251739053766,-4.14209162013127
"58",28,"Shane Larkin",2013,4,0,-0.000941778077366506,-5.2355657050021,-2.35772825951066
"59",29,"Ryan Kelly",2013,4,0,0.00545098332754734,-5.81723387810964,-2.23579508991126
"60",30,"Raul Neto",2013,5,0,0.00943122665648755,-6.19898788977706,-1.68246874309284
"61",1,"Anthony Davis",2012,8,7,6.10432223108796,11.12229091588,3.53365270353141
"62",2,"Damian Lillard",2012,8,5,5.05522232910581,9.66206214037253,-4.5481116650524
"63",3,"Andre Drummond",2012,8,2,3.18884454377156,7.22387677077975,8.71815121656152
"64",4,"Bradley Beal",2012,8,2,2.44624765666573,6.28213262964142,-2.87037927371972
"65",5,"Khris Middleton",2012,8,2,0.963772637576824,4.02538025001189,-2.46871412485717
"66",6,"Draymond Green",2012,8,3,0.698036532798644,3.46756005877964,0.813473868660902
"67",7,"Harrison Barnes",2012,8,0,0.231022770128454,2.06957510144986,-1.95182119459785
"68",8,"Evan Fournier",2012,8,0,0.102849262023087,1.41447104022985,-2.67478356308091
"69",9,"Will Barton",2012,8,0,0.0104368429464253,0.660900542466921,-1.49210668882383
"70",10,"Jae Crowder",2012,8,0,-0.0508145684673399,-0.577919742142313,-1.48398128813616
"71",11,"Jeremy Lamb",2012,8,0,-0.0517728046347347,-0.634961083354159,-0.907373295447748
"72",12,"Jared Sullinger",2012,5,0,-0.0544965753789272,-0.867574358974161,1.61753727230878
"73",13,"Terrence Ross",2012,8,0,-0.0553681955460844,-1.02298989191899,-2.78559050744502
"74",14,"Terrence Jones",2012,6,0,-0.0547347476126092,-1.43074373530142,2.72092343605527
"75",15,"Dion Waiters",2012,8,0,-0.0541341292992408,-1.52011057606111,-2.81000875530101
"76",16,"Michael Kidd-Gilchrist",2012,8,0,-0.0536229685741418,-1.5838079042075,2.07275396494559
"77",17,"John Henson",2012,8,0,-0.0516598323354161,-1.78078688448477,5.3167054543789
"78",18,"Austin Rivers",2012,8,0,-0.0414358546156389,-2.48974335205894,-1.64170306288828
"79",19,"Maurice Harkless",2012,8,0,-0.0408600444674659,-2.52461046863369,1.82784113383244
"80",20,"Tomas Satoransky",2012,4,0,-0.0378012976509847,-2.70725771253927,-1.19927527445124
"81",21,"Kyle O'Quinn",2012,8,0,-0.0351680744636672,-2.86276560249933,3.32344559225512
"82",22,"Tony Wroten",2012,4,0,-0.0245807817244318,-3.49937828783081,-1.86435426017189
"83",23,"Tyler Zeller",2012,7,0,-0.0228717990836229,-3.60680920464733,2.64445419536978
"84",24,"Mike Scott",2012,8,0,-0.0189777724788577,-3.85944998383543,-0.0353575227227132
"85",25,"Meyers Leonard",2012,8,0,-0.0137345512218181,-4.22088984085406,0.575096272954583
"86",26,"Quincy Acy",2012,7,0,0.00159452929458326,-5.46092638808082,0.64490550116953
"87",27,"Darius Miller",2012,5,0,0.00300603703437241,-5.5895482067597,-2.36349369945216
"88",28,"Thomas Robinson",2012,5,0,0.00383671634104898,-5.66624147507065,4.09511869414696
"89",29,"Andrew Nicholson",2012,5,0,0.0060354390763584,-5.87248541493464,0.243841825526479
"90",30,"Kendall Marshall",2012,4,0,0.00793148278762579,-6.0537245104602,-2.88315385177701
"91",1,"Kawhi Leonard",2011,9,4,3.94001530661423,8.17619630838759,-0.651726773820103
"92",2,"Kyrie Irving",2011,9,6,3.34847425933767,7.42440087744154,-3.28129742485847
"93",3,"Jimmy Butler",2011,9,5,3.09222988892062,7.10262197600703,-1.51487982902306
"94",4,"Kemba Walker",2011,9,4,2.81649121777418,6.755572688959,-4.41890162705057
"95",5,"Nikola Vucevic",2011,9,1,1.92246025030605,5.57675052315781,2.81377369770185
"96",6,"Isaiah Thomas",2011,9,2,1.38246122939243,4.7640098843556,-4.12422955122294
"97",7,"Tobias Harris",2011,9,0,1.18430121312807,4.43036747558079,-0.52769962975761
"98",8,"Klay Thompson",2011,8,5,1.16814648258158,4.40203898775599,-2.9997170455846
"99",9,"Jonas Valanciunas",2011,8,0,0.530515332798366,3.05511100337583,4.84972244545558
"100",10,"Enes Kanter",2011,9,0,0.299392499641484,2.33939330992828,4.65750711132238
"101",11,"Reggie Jackson",2011,9,0,0.206795399729647,1.96364046154842,-3.37177522142483
"102",12,"Brandon Knight",2011,8,0,0.183419047270926,1.85498917460502,-4.0690284966595
"103",13,"Kenneth Faried",2011,8,0,0.143177935133359,1.64988984519655,5.61844218395575
"104",14,"Chandler Parsons",2011,9,0,0.0923299331609319,1.34671616821768,-0.540338550447598
"105",15,"Markieff Morris",2011,9,0,0.0515252297684713,1.04916678402446,0.150890613404272
"106",16,"Marcus Morris",2011,9,0,0.0489532204089251,1.02807752898258,-1.40292740496498
"107",17,"Nikola Mirotic",2011,5,0,0.0101155607866339,0.657309097595958,-0.513383709285803
"108",18,"Bojan Bogdanovic",2011,6,0,0.00748164959852349,0.627421194522328,-2.31115720539962
"109",19,"Tristan Thompson",2011,9,0,-0.0150119912294598,0.331128721719859,6.01666432762806
"110",20,"Alec Burks",2011,9,0,-0.0550199933527822,-0.945303110225727,-2.57843654421383
"111",21,"Cory Joseph",2011,9,0,-0.046677149215273,-2.15721544275249,-1.24297850884449
"112",22,"E'Twaun Moore",2011,9,0,-0.041053950558715,-2.51289165571852,-1.20077819346125
"113",23,"Iman Shumpert",2011,9,0,-0.0356119382352976,-2.83658805531881,-2.10091363370265
"114",24,"Bismack Biyombo",2011,9,0,-0.0349522514946486,-2.8754993979447,5.88183968316214
"115",25,"Derrick Williams",2011,7,0,-0.0343637402068897,-2.91022117524772,-0.12676680673664
"116",26,"Shelvin Mack",2011,8,0,-0.0240895339593075,-3.53006931269115,-2.06679999802492
"117",27,"Jon Leuer",2011,8,0,-0.0197347589122557,-3.80938936791576,0.713786632667967
"118",28,"Kyle Singler",2011,6,0,-0.015111286921246,-4.1233063272636,-1.71993499660966
"119",29,"Norris Cole",2011,6,0,-0.0139391355098708,-4.20625620084692,-2.56543351709299
"120",30,"Lavoy Allen",2011,6,0,-0.00691837586379074,-4.73617463169485,2.76372658645236
"121",1,"DeMarcus Cousins",2010,9,4,5.41589627391711,10.1593531853529,1.37782533475825
"122",2,"Paul George",2010,10,6,4.09799843518079,8.38065537785075,-2.67664182156802
"123",3,"John Wall",2010,9,5,3.55239180526269,7.68159930111404,-3.78900018484634
"124",4,"Eric Bledsoe",2010,10,0,1.62102134710045,5.13755831817698,-2.14435595153992
"125",5,"Gordon Hayward",2010,10,1,1.32526173989418,4.67015237722612,-2.28478901948073
"126",6,"Greg Monroe",2010,9,0,1.1535899760336,4.37634751594467,4.49409393562209
"127",7,"Hassan Whiteside",2010,8,0,1.11819124520132,4.31320977173075,8.18495141450261
"128",8,"Derrick Favors",2010,10,0,0.384655526082403,2.63120335085273,4.94319869413033
"129",9,"Evan Turner",2010,10,0,0.0450449542914222,0.995372000013162,-1.60304656605554
"130",10,"Avery Bradley",2010,10,0,-0.0250114075096037,0.16424009663578,-2.3388177755978
"131",11,"Al-Farouq Aminu",2010,10,0,-0.0543019314085078,-0.844040523339803,0.00106807168793266
"132",12,"Ed Davis",2010,10,0,-0.0553794444502977,-1.28819375453507,6.92803252361984
"133",13,"Greivis Vasquez",2010,7,0,-0.0549590703872022,-1.39019584418394,-3.20451058587512
"134",14,"Lance Stephenson",2010,9,0,-0.0548257679761011,-1.41495691741277,-0.281664313362917
"135",15,"Patrick Patterson",2010,10,0,-0.0530239669585549,-1.65004905320078,0.99743080920897
"136",16,"Trevor Booker",2010,8,0,-0.0486353339299824,-2.02063371411545,2.86912730350823
"137",17,"Jordan Crawford",2010,6,0,-0.0484645357073474,-2.03296779638475,-3.17405626746611
"138",18,"Nemanja Bjelica",2010,5,0,-0.0419792854869967,-2.45662758387969,0.315323587046072
"139",19,"Wesley Johnson",2010,9,0,-0.0340448731765138,-2.92903503083396,-1.45663803521357
"140",20,"Larry Sanders",2010,6,0,-0.0210166444385639,-3.7256964732153,4.82503781992835
"141",21,"Landry Fields",2010,5,0,-0.0203090882656683,-3.77173424061401,0.493136999574901
"142",22,"Kevin Seraphin",2010,7,0,-0.00498288873438579,-4.89291857232183,2.65718571028154
"143",23,"Ekpe Udoh",2010,7,0,-0.00199814590803993,-5.14400612653931,2.18699087529343
"144",24,"Quincy Pondexter",2010,7,0,-0.000436860144750084,-5.2798196104872,-1.39074432704555
"145",25,"Cole Aldrich",2010,8,0,0.000925306377797641,-5.40073047137156,3.93874189373994
"146",26,"Jeremy Evans",2010,7,0,0.00526819674426426,-5.80001239840432,4.11435224340504
"147",27,"James Anderson",2010,5,0,0.00586231486869382,-5.85608913772876,-1.76474489883871
"148",28,"Luke Babbitt",2010,8,0,0.0100918405176875,-6.26346445226654,-1.55532159357704
"149",29,"Xavier Henry",2010,5,0,0.0175923834859735,-7.01116972917695,-1.45299988010897
"150",30,"Elliot Williams",2010,4,0,0.0254138601952829,-7.80603496449717,-0.872822373735125
"151",1,"James Harden",2009,11,8,8.95690180991389,15.3206530957898,-3.86322858046571
"152",2,"Stephen Curry",2009,11,6,6.0429560660611,11.0356475018477,-4.15595591305116
"153",3,"Blake Griffin",2009,10,6,4.5176395781753,8.93362264822868,1.44775790686408
"154",4,"DeMar DeRozan",2009,11,4,3.68759363452886,7.85311511429374,-1.38008035398054
"155",5,"Jrue Holiday",2009,11,1,2.0432910586738,5.74489478262102,-2.52233893944688
"156",6,"Jeff Teague",2009,11,1,0.992667490835282,4.08092072446184,-3.41828666161694
"157",7,"Tyreke Evans",2009,10,0,0.961053569220817,4.02010579321036,-1.56625274201066
"158",8,"Ty Lawson",2009,8,0,0.603025204150747,3.2412768058686,-2.64149019314772
