"","Player","Class","Pos","School","G","MP","TRB","AST","STL","BLK","TOV","PF","PTS","FG.","X2P.","X3P.","FT.","PPG","RPG","APG","SPG","BPG","PER","WS","BPM","Year"
"741","Daequan Cook","FR","G","Ohio State","39","770","167","40","28","10","56","66","382","0.445","0.465","0.415","0.697","9.8","4.3","1","0.7","0.3","0","3.5","0",2007
"742","Carl Landry","JR","F","Purdue","34","1035","249","42","40","32","102","99","643","0.597","0.618","0.211","0.726","18.9","7.3","1.2","1.2","0.9","0","8.4","0",2007
"743","Ekpe Udoh","FR","C","Michigan","35","710","139","28","23","67","28","66","176","0.469","0.478","0","0.585","5","4","0.8","0.7","1.9","0","2.4","0",2007
"744","Jason Smith","JR","F","Colorado State","30","905","304","58","16","47","102","94","504","0.579","0.585","0","0.77","16.8","10.1","1.9","0.5","1.6","0","4.7","0",2007
"745","Arron Afflalo","JR","G","UCLA","36","1186","99","70","22","8","64","66","608","0.461","0.549","0.375","0.802","16.9","2.8","1.9","0.6","0.2","0","5.5","0",2007
"746","Ryan Anderson","FR","F","University of California","33","1096","269","16","22","18","47","91","539","0.476","0.535","0.382","0.798","16.3","8.2","0.5","0.7","0.5","0","4.7","0",2007
"747","Aaron Brooks","SR","G","Oregon","35","1289","149","149","48","6","89","88","621","0.46","0.502","0.404","0.846","17.7","4.3","4.3","1.4","0.2","0","5.7","0",2007
"748","Chase Budinger","FR","F","Arizona","31","1024","179","62","37","13","49","53","484","0.485","0.555","0.368","0.845","15.6","5.8","2","1.2","0.4","0","3.9","0",2007
"749","Darren Collison","SO","G","UCLA","35","1155","79","199","78","3","102","53","443","0.478","0.495","0.447","0.81","12.7","2.3","5.7","2.2","0.1","0","6","0",2007
"750","Landry Fields","FR","G","Stanford","30","420","74","22","7","4","24","29","125","0.363","0.431","0.303","0.652","4.2","2.5","0.7","0.2","0.1","0","0.5","0",2007
"751","Taj Gibson","FR","F","Southern California","37","1198","321","55","20","69","107","110","452","0.558","0.558","0","0.623","12.2","8.7","1.5","0.5","1.9","0","5.7","0",2007
"752","Spencer Hawes","FR","C","Washington","31","896","197","60","16","54","78","70","461","0.532","0.533","0.333","0.755","14.9","6.4","1.9","0.5","1.7","0","4.4","0",2007
"753","Jordan Hill","FR","F","Arizona","29","409","118","3","6","26","21","51","137","0.652","0.652","0","0.447","4.7","4.1","0.1","0.2","0.9","0","1.8","0",2007
"754","Brook Lopez","FR","F","Stanford","26","654","156","20","11","45","54","71","328","0.496","0.513","0.2","0.692","12.6","6","0.8","0.4","1.7","0","2.5","0",2007
"755","Robin Lopez","FR","C","Stanford","31","743","172","29","5","73","46","72","234","0.48","0.482","0","0.545","7.5","5.5","0.9","0.2","2.4","0","2.3","0",2007
"756","Quincy Pondexter","FR","F","Washington","32","764","128","49","21","6","65","83","342","0.498","0.527","0.375","0.76","10.7","4","1.5","0.7","0.2","0","2.7","0",2007
"757","Russell Westbrook","FR","G","UCLA","36","325","28","24","14","1","25","35","122","0.457","0.47","0.409","0.548","3.4","0.8","0.7","0.4","0","0","0.9","0",2007
"758","Marcus Williams","SO","F","Arizona","30","987","200","67","33","23","80","66","497","0.494","0.546","0.288","0.695","16.6","6.7","2.2","1.1","0.8","0","3.4","0",2007
"759","Nick Young","JR","F","Southern California","37","1227","171","50","27","10","90","92","647","0.525","0.549","0.44","0.786","17.5","4.6","1.4","0.7","0.3","0","5.8","0",2007
"760","Patrick Beverley","FR","G","Arkansas","35","1203","156","110","61","14","70","77","485","0.427","0.475","0.386","0.812","13.9","4.5","3.1","1.7","0.4","0","4.6","0",2007
"761","Corey Brewer","JR","F","Florida","37","1053","173","109","69","15","93","72","490","0.475","0.544","0.336","0.723","13.2","4.7","2.9","1.9","0.4","0","5.1","0",2007
"762","Glen Davis","JR","F","Louisiana State","29","1016","303","66","32","28","82","67","512","0.484","0.505","0.347","0.713","17.7","10.4","2.3","1.1","1","0","5.3","0",2007
"763","Al Horford","JR","F","Florida","38","1057","360","82","28","70","68","94","502","0.608","0.612","0","0.644","13.2","9.5","2.2","0.7","1.8","0","7.5","0",2007
"764","Justin Jackson","SO","G","Tennessee","1","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0",2007
"765","Jodie Meeks","FR","G","Kentucky","34","751","96","51","32","2","40","44","295","0.419","0.481","0.364","0.897","8.7","2.8","1.5","0.9","0.1","0","2.3","0",2007
"766","Joakim Noah","JR","C","Florida","40","1034","337","90","45","72","100","90","479","0.607","0.606","1","0.663","12","8.4","2.3","1.1","1.8","0","7.7","0",2007
"767","Marreese Speights","FR","C","Florida","33","189","86","2","8","15","17","38","134","0.671","0.671","0","0.667","4.1","2.6","0.1","0.2","0.5","0","2","0",2007
"768","JaVale McGee","FR","F","Nevada","33","330","72","3","6","30","25","53","108","0.6","0.597","0.667","0.471","3.3","2.2","0.1","0.2","0.9","0","1.6","0",2007
"769","Dominic McGuire","JR","G","Fresno State","32","1054","314","104","28","114","119","91","432","0.471","0.516","0.299","0.586","13.5","9.8","3.3","0.9","3.6","0","5.8","0",2007
"770","Ramon Sessions","JR","G","Nevada","34","1028","161","159","29","7","85","41","417","0.452","0.465","0.38","0.825","12.3","4.7","4.7","0.9","0.2","0","3.4","0",2007
"771","Trevor Booker","SO","F","Clemson","34","906","249","51","22","63","68","90","374","0.555","0.568","0.333","0.573","11","7.3","1.5","0.6","1.9","0","5.4","0",2008
"772","Toney Douglas","JR","G","Florida State","34","1205","108","98","90","11","95","90","524","0.43","0.483","0.356","0.809","15.4","3.2","2.9","2.6","0.3","0","3.8","0",2008
"773","Wayne Ellington","SO","G","North Carolina","39","1214","174","78","44","7","66","62","647","0.467","0.51","0.4","0.826","16.6","4.5","2","1.1","0.2","0","5","0",2008
"774","Danny Green","JR","F","North Carolina","39","869","193","77","48","46","74","91","447","0.469","0.544","0.373","0.873","11.5","4.9","2","1.2","1.2","0","5.6","0",2008
"775","Tyler Hansbrough","JR","F","North Carolina","39","1286","399","35","59","14","83","93","882","0.54","0.547","0","0.806","22.6","10.2","0.9","1.5","0.4","0","8.7","0",2008
"776","Gerald Henderson","SO","G","Duke","34","891","160","56","39","31","68","70","433","0.474","0.511","0.317","0.669","12.7","4.7","1.6","1.1","0.9","0","4.1","0",2008
"777","J.J. Hickson","FR","F","North Carolina State","31","890","262","31","22","47","83","60","458","0.591","0.593","0","0.677","14.8","8.5","1","0.7","1.5","0","3.9","0",2008
"778","James Johnson","FR","F","Wake Forest","30","875","244","37","41","40","78","93","438","0.487","0.574","0.28","0.689","14.6","8.1","1.2","1.4","1.3","0","4.7","0",2008
"779","Ty Lawson","SO","G","North Carolina","32","810","87","165","51","1","70","56","406","0.515","0.582","0.361","0.835","12.7","2.7","5.2","1.6","0","0","4.4","0",2008
"780","Mike Scott","FR","F","Virginia","32","579","168","15","20","12","25","69","182","0.441","0.444","0.4","0.703","5.7","5.3","0.5","0.6","0.4","0","1.6","0",2008
"781","Kyle Singler","FR","F","Duke","34","972","198","48","36","25","75","104","451","0.457","0.545","0.34","0.774","13.3","5.8","1.4","1.1","0.7","0","4.6","0",2008
"782","Jeff Teague","FR","G","Wake Forest","30","892","82","74","55","15","76","70","416","0.434","0.448","0.395","0.803","13.9","2.7","2.5","1.8","0.5","0","3.5","0",2008
"783","Greivis Vasquez","SO","G","Maryland","34","1258","193","231","47","9","149","78","577","0.432","0.531","0.309","0.782","17","5.7","6.8","1.4","0.3","0","4.1","0",2008
"784","Cole Aldrich","FR","C","Kansas","40","330","119","5","11","34","21","48","112","0.518","0.518","0","0.684","2.8","3","0.1","0.3","0.9","0","2.3","0",2008
"785","James Anderson","FR","G","Oklahoma State","33","1021","123","35","26","16","65","41","438","0.435","0.497","0.379","0.714","13.3","3.7","1.1","0.8","0.5","0","3.4","0",2008
"786","Ryan Anderson","SO","G","Nebraska","33","980","176","57","47","1","42","86","278","0.422","0.5","0.368","0.8","8.4","5.3","1.7","1.4","0","0","3.1","0",2008
"787","Darrell Arthur","SO","F","Kansas","40","989","250","33","20","53","75","118","510","0.543","0.555","0.167","0.702","12.8","6.3","0.8","0.5","1.3","0","5.8","0",2008
"788","D.J. Augustin","SO","G","Texas","38","1417","112","219","47","0","105","61","731","0.439","0.471","0.381","0.783","19.2","2.9","5.8","1.2","0","0","6","0",2008
"789","Michael Beasley","FR","F","Kansas State","33","1041","408","38","42","54","95","85","866","0.532","0.562","0.379","0.774","26.2","12.4","1.2","1.3","1.6","0","10.7","0",2008
"790","DeMarre Carroll","SR","F","Missouri","32","809","213","42","36","21","48","85","417","0.536","0.558","0.176","0.612","13","6.7","1.3","1.1","0.7","0","4.1","0",2008
"791","Mario Chalmers","JR","G","Kansas","39","1170","120","169","97","23","75","99","498","0.516","0.562","0.468","0.746","12.8","3.1","4.3","2.5","0.6","0","7.5","0",2008
"792","Blake Griffin","FR","F","Oklahoma","33","937","301","61","33","28","76","82","484","0.568","0.571","0","0.589","14.7","9.1","1.8","1","0.8","0","5.6","0",2008
"793","DeAndre Jordan","FR","C","Texas A&M","35","703","210","15","7","44","57","67","278","0.617","0.617","0","0.437","7.9","6","0.4","0.2","1.3","0","4.4","0",2008
"794","Brandon Rush","JR","G","Kansas","38","1127","195","81","32","32","69","60","507","0.435","0.448","0.419","0.779","13.3","5.1","2.1","0.8","0.8","0","5.1","0",2008
"795","DeJuan Blair","FR","F","Pittsburgh","37","963","337","35","62","41","71","109","429","0.537","0.537","0","0.624","11.6","9.1","0.9","1.7","1.1","0","6.8","0",2008
"796","Dante Cunningham","JR","F","Villanova","35","1050","226","37","46","31","80","107","364","0.544","0.544","0","0.69","10.4","6.5","1.1","1.3","0.9","0","4.4","0",2008
"797","Roy Hibbert","SR","C","Georgetown","34","894","216","63","18","75","57","92","454","0.609","0.605","1","0.646","13.4","6.4","1.9","0.5","2.2","0","6.8","0",2008
"798","Jordan Crawford","FR","G","Indiana","30","758","101","69","28","6","58","49","291","0.44","0.478","0.366","0.746","9.7","3.4","2.3","0.9","0.2","0","2.2","0",2008
"799","Eric Gordon","FR","G","Indiana","32","1110","104","78","42","20","115","69","669","0.433","0.525","0.337","0.834","20.9","3.3","2.4","1.3","0.6","0","6","0",2008
"800","Kosta Koufos","FR","F","Ohio State","37","1003","247","19","16","67","55","81","534","0.508","0.535","0.349","0.68","14.4","6.7","0.5","0.4","1.8","0","5.3","0",2008
"801","Jon Leuer","FR","F","Wisconsin","32","276","40","12","4","3","20","12","94","0.472","0.478","0.462","0.483","2.9","1.3","0.4","0.1","0.1","0","1.1","0",2008
"802","E'Twaun Moore","FR","G","Purdue","34","1040","131","88","32","15","58","84","437","0.443","0.449","0.434","0.716","12.9","3.9","2.6","0.9","0.4","0","4.2","0",2008
"803","Evan Turner","FR","G","Ohio State","37","1004","164","98","47","19","99","90","313","0.47","0.528","0.333","0.699","8.5","4.4","2.6","1.3","0.5","0","3.8","0",2008
"804","Ekpe Udoh","SO","C","Michigan","32","832","160","29","27","92","36","77","191","0.437","0.443","0.375","0.589","6","5","0.9","0.8","2.9","0","2.3","0",2008
"805","Chris Douglas-Roberts","JR","G","Memphis","40","1147","165","71","49","18","83","68","724","0.541","0.578","0.413","0.712","18.1","4.1","1.8","1.2","0.5","0","8.1","0",2008
"806","Derrick Rose","FR","G","Memphis","40","1168","181","189","48","15","107","68","597","0.477","0.521","0.337","0.712","14.9","4.5","4.7","1.2","0.4","0","6.6","0",2008
"807","Norris Cole","FR","G","Cleveland State","34","489","48","28","22","0","39","57","167","0.38","0.44","0.238","0.817","4.9","1.4","0.8","0.6","0","0","0.9","0",2008
"808","Anthony Johnson","SO","F","Fairfield","29","865","211","30","33","41","50","78","279","0.5","0.5","0","0.533","9.6","7.3","1","1.1","1.4","0","1.7","0",2008
"809","Jason Thompson","SR","C","Rider","34","1177","412","93","36","91","99","100","694","0.56","0.578","0.324","0.581","20.4","12.1","2.7","1.1","2.7","0","6.9","0",2008
"810","Mike Scott","FR","G","Texas Christian","29","358","29","62","25","1","39","48","95","0.395","0.421","0.333","0.767","3.3","1","2.1","0.9","0","0","0.9","0",2008
"811","Ryan Anderson","SO","F","University of California","33","1082","328","47","12","18","74","71","697","0.49","0.53","0.41","0.869","21.1","9.9","1.4","0.4","0.5","0","5.5","0",2008
"812","Jerryd Bayless","FR","G","Arizona","30","1072","82","121","29","3","89","66","592","0.458","0.489","0.407","0.839","19.7","2.7","4","1","0.1","0","4.8","0",2008
"813","Chase Budinger","SO","F","Arizona","34","1200","184","99","38","6","80","66","583","0.446","0.494","0.38","0.718","17.1","5.4","2.9","1.1","0.2","0","3.8","0",2008
"814","Darren Collison","JR","G","UCLA","33","1144","86","124","61","3","74","44","477","0.481","0.462","0.525","0.872","14.5","2.6","3.8","1.8","0.1","0","5.9","0",2008
"815","Landry Fields","SO","G","Stanford","33","415","67","33","11","7","27","38","134","0.362","0.369","0.355","0.625","4.1","2","1","0.3","0.2","0","1.1","0",2008
"816","Taj Gibson","SO","F","Southern California","33","1058","259","43","23","84","81","115","355","0.58","0.58","0","0.594","10.8","7.8","1.3","0.7","2.5","0","5.1","0",2008
"817","James Harden","FR","G","Arizona State","34","1158","179","110","73","19","89","72","605","0.527","0.576","0.407","0.754","17.8","5.3","3.2","2.1","0.6","0","6.7","0",2008
"818","Jordan Hill","SO","F","Arizona","34","1001","270","27","17","56","72","105","450","0.62","0.62","0","0.683","13.2","7.9","0.8","0.5","1.6","0","5.2","0",2008
"819","Brook Lopez","SO","F","Stanford","27","831","221","37","16","56","58","66","521","0.468","0.475","0","0.789","19.3","8.2","1.4","0.6","2.1","0","5.4","0",2008
"820","Robin Lopez","SO","C","Stanford","36","883","204","22","18","83","63","94","367","0.534","0.533","1","0.652","10.2","5.7","0.6","0.5","2.3","0","5.9","0",2008
"821","Kevin Love","FR","C","UCLA","39","1156","415","75","27","56","78","73","681","0.559","0.611","0.354","0.767","17.5","10.6","1.9","0.7","1.4","0","11.3","0",2008
"822","O.J. Mayo","FR","G","Southern California","33","1216","150","109","51","13","117","80","684","0.442","0.464","0.409","0.803","20.7","4.5","3.3","1.5","0.4","0","5.2","0",2008
"823","Quincy Pondexter","SO","F","Washington","33","806","157","63","15","5","59","75","327","0.452","0.493","0.288","0.685","9.9","4.8","1.9","0.5","0.2","0","2.3","0",2008
"824","Russell Westbrook","SO","G","UCLA","39","1318","153","167","63","7","96","93","497","0.465","0.497","0.338","0.713","12.7","3.9","4.3","1.6","0.2","0","5.3","0",2008
"825","Patrick Beverley","SO","G","Arkansas","35","1183","231","84","44","16","69","85","422","0.412","0.449","0.378","0.644","12.1","6.6","2.4","1.3","0.5","0","3.6","0",2008
"826","Justin Jackson","","","Tennessee","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2008
"827","Jodie Meeks","SO","G","Kentucky","11","255","29","16","6","1","12","19","97","0.307","0.289","0.32","0.794","8.8","2.6","1.5","0.5","0.1","0","0.1","0",2008
"828","Chandler Parsons","FR","F","Florida","36","744","143","51","18","8","36","60","293","0.472","0.618","0.324","0.627","8.1","4","1.4","0.5","0.2","0","2.7","0",2008
"829","Patrick Patterson","FR","F","Kentucky","25","893","192","43","21","31","52","69","411","0.574","0.581","0","0.731","16.4","7.7","1.7","0.8","1.2","0","3.9","0",2008
"830","Marreese Speights","SO","C","Florida","36","874","290","34","15","49","62","82","522","0.624","0.624","0","0.692","14.5","8.1","0.9","0.4","1.4","0","6.8","0",2008
"831","Marcus Thornton","JR","G","Louisiana State","31","1043","174","42","43","10","68","62","608","0.436","0.494","0.377","0.817","19.6","5.6","1.4","1.4","0.3","0","4.3","0",2008
"832","Al-Farouq Aminu","FR","F","Wake Forest","31","899","253","46","30","38","81","81","401","0.516","0.57","0.179","0.671","12.9","8.2","1.5","1","1.2","0","4.1","0",2009
"833","Trevor Booker","JR","F","Clemson","32","982","311","54","47","63","59","54","491","0.571","0.583","0.409","0.707","15.3","9.7","1.7","1.5","2","0","6.7","0",2009
"834","Ed Davis","FR","F","North Carolina","38","716","250","22","14","65","40","74","253","0.518","0.518","0","0.573","6.7","6.6","0.6","0.4","1.7","0","4.1","0",2009
"835","Toney Douglas","SR","G","Florida State","35","1279","137","102","63","15","87","76","751","0.446","0.489","0.385","0.81","21.5","3.9","2.9","1.8","0.4","0","6.3","0",2009
"836","Wayne Ellington","JR","G","North Carolina","38","1155","186","101","36","6","62","57","602","0.483","0.539","0.417","0.777","15.8","4.9","2.7","0.9","0.2","0","5.5","0",2009
"837","Danny Green","SR","F","North Carolina","38","1040","178","104","67","51","63","84","497","0.471","0.517","0.418","0.852","13.1","4.7","2.7","1.8","1.3","0","6.3","0",2009
"838","Tyler Hansbrough","SR","F","North Carolina","34","1029","276","34","42","12","63","77","704","0.514","0.521","0.391","0.841","20.7","8.1","1","1.2","0.4","0","6.7","0",2009
"839","Gerald Henderson","JR","G","Duke","37","1098","183","91","46","28","80","63","610","0.45","0.49","0.336","0.761","16.5","4.9","2.5","1.2","0.8","0","5.5","0",2009
"840","Reggie Jackson","FR","G","Boston College","34","680","111","59","28","14","42","52","237","0.44","0.518","0.273","0.685","7","3.3","1.7","0.8","0.4","0","1.8","0",2009
"841","James Johnson","SO","F","Wake Forest","31","946","264","62","44","48","74","91","465","0.542","0.598","0.319","0.697","15","8.5","2","1.4","1.5","0","5.3","0",2009
"842","Ty Lawson","JR","G","North Carolina","35","1048","104","230","75","5","66","59","581","0.532","0.56","0.472","0.798","16.6","3","6.6","2.1","0.1","0","6.9","0",2009
"843","Mike Scott","SO","F","Virginia","28","774","208","21","24","9","49","68","287","0.544","0.551","0.333","0.741","10.3","7.4","0.8","0.9","0.3","0","2.9","0",2009
"844","Iman Shumpert","FR","G","Georgia Tech","31","981","121","154","64","6","116","90","330","0.391","0.438","0.314","0.656","10.6","3.9","5","2.1","0.2","0","2.3","0",2009
"845","Kyle Singler","SO","F","Duke","37","1193","284","89","57","38","92","99","609","0.441","0.476","0.383","0.713","16.5","7.7","2.4","1.5","1","0","6.8","0",2009
"846","Jeff Teague","SO","G","Wake Forest","31","991","102","110","58","20","104","68","584","0.485","0.502","0.441","0.817","18.8","3.3","3.5","1.9","0.6","0","5.6","0",2009
"847","Greivis Vasquez","JR","G","Maryland","35","1210","189","176","49","13","98","76","613","0.405","0.452","0.327","0.867","17.5","5.4","5","1.4","0.4","0","4.2","0",2009
"848","Elliot Williams","FR","G","Duke","34","563","77","23","21","1","29","58","144","0.441","0.516","0.25","0.5","4.2","2.3","0.7","0.6","0","0","1.1","0",2009
"849","Tyler Zeller","FR","F","North Carolina","15","117","30","3","3","3","8","20","47","0.472","0.472","0","0.765","3.1","2","0.2","0.2","0.2","0","0.4","0",2009
"850","Lavoy Allen","SO","F","Temple","33","1033","296","68","13","50","42","79","361","0.579","0.6","0.333","0.642","10.9","9","2.1","0.4","1.5","0","5.3","0",2009
"851","Andrew Nicholson","FR","F","St. Bonaventure","30","754","180","7","17","81","62","99","376","0.602","0.604","0","0.613","12.5","6","0.2","0.6","2.7","0","4.2","0",2009
"852","Quincy Acy","FR","F","Baylor","34","558","124","9","21","34","33","75","185","0.655","0.655","0","0.569","5.4","3.6","0.3","0.6","1","0","2.5","0",2009
"853","Cole Aldrich","SO","C","Kansas","35","1037","387","36","21","94","56","90","520","0.598","0.598","0","0.792","14.9","11.1","1","0.6","2.7","0","8.3","0",2009
"854","James Anderson","SO","G","Oklahoma State","35","1171","198","48","40","24","69","85","638","0.482","0.548","0.408","0.829","18.2","5.7","1.4","1.1","0.7","0","5.7","0",2009
"855","Ryan Anderson","JR","G","Nebraska","30","720","115","57","41","3","31","88","213","0.402","0.476","0.34","0.72","7.1","3.8","1.9","1.4","0.1","0","2.2","0",2009
"856","DeMarre Carroll","SR","F","Missouri","38","1064","273","82","59","25","56","84","629","0.558","0.579","0.364","0.634","16.6","7.2","2.2","1.6","0.7","0","7.2","0",2009
"857","Blake Griffin","SO","F","Oklahoma","35","1165","504","80","39","41","116","89","794","0.654","0.659","0.375","0.59","22.7","14.4","2.3","1.1","1.2","0","9.7","0",2009
"858","Marcus Morris","FR","F","Kansas","35","646","166","38","36","12","57","88","258","0.495","0.503","0.4","0.604","7.4","4.7","1.1","1","0.3","0","2.6","0",2009
"859","Markieff Morris","FR","C","Kansas","35","547","155","34","14","25","43","98","162","0.448","0.483","0.188","0.65","4.6","4.4","1","0.4","0.7","0","1.9","0",2009
"860","DeJuan Blair","SO","F","Pittsburgh","35","955","432","42","54","34","44","95","550","0.593","0.593","0","0.605","15.7","12.3","1.2","1.5","1","0","8.2","0",2009
"861","Jimmy Butler","SO","G","Marquette","35","687","138","26","17","16","17","66","196","0.514","0.534","0","0.768","5.6","3.9","0.7","0.5","0.5","0","2.7","0",2009
"862","Dante Cunningham","SR","F","Villanova","38","1199","284","47","47","47","82","103","612","0.525","0.527","0","0.697","16.1","7.5","1.2","1.2","1.2","0","6.3","0",2009
"863","Greg Monroe","FR","C","Georgetown","31","958","203","79","57","45","77","77","393","0.572","0.578","0.333","0.7","12.7","6.5","2.5","1.8","1.5","0","5","0",2009
"864","Kemba Walker","FR","G","Connecticut","36","907","125","104","38","6","66","56","321","0.47","0.522","0.271","0.715","8.9","3.5","2.9","1.1","0.2","0","3.6","0",2009
"865","Tyreke Evans","FR","G","Memphis","37","1072","198","143","77","29","133","89","632","0.455","0.514","0.274","0.711","17.1","5.4","3.9","2.1","0.8","0","7.2","0",2009
"866","Chase Budinger","JR","F","Arizona","35","1317","217","118","50","16","85","65","630","0.48","0.528","0.399","0.801","18","6.2","3.4","1.4","0.5","0","5.2","0",2009
"867","Darren Collison","SR","G","UCLA","35","1103","84","166","57","5","87","53","504","0.509","0.558","0.394","0.897","14.4","2.4","4.7","1.6","0.1","0","5.4","0",2009
"868","DeMar DeRozan","FR","F","Southern California","35","1168","201","51","31","13","73","73","485","0.523","0.562","0.167","0.646","13.9","5.7","1.5","0.9","0.4","0","4.1","0",2009
"869","Landry Fields","JR","G","Stanford","34","1045","226","66","42","18","63","70","430","0.498","0.547","0.368","0.65","12.6","6.6","1.9","1.2","0.5","0","4.2","0",2009
"870","Taj Gibson","JR","F","Southern California","35","1179","316","44","34","100","72","103","500","0.601","0.601","0","0.659","14.3","9","1.3","1","2.9","0","7.7","0",2009
"871","James Harden","SO","G","Arizona State","35","1254","195","148","59","11","118","99","704","0.489","0.564","0.356","0.756","20.1","5.6","4.2","1.7","0.3","0","7.2","0",2009
"872","Jordan Hill","JR","F","Arizona","34","1213","375","50","30","58","97","102","621","0.537","0.537","0","0.654","18.3","11","1.5","0.9","1.7","0","5.1","0",2009
"873","Jrue Holiday","FR","G","UCLA","35","950","132","129","55","18","75","75","296","0.45","0.528","0.307","0.726","8.5","3.8","3.7","1.6","0.5","0","3.3","0",2009
"874","Quincy Pondexter","JR","F","Washington","35","983","207","55","25","13","66","98","422","0.511","0.524","0.214","0.742","12.1","5.9","1.6","0.7","0.4","0","4.2","0",2009
"875","Isaiah Thomas","FR","G","Washington","35","993","106","91","38","2","92","66","541","0.418","0.475","0.291","0.686","15.5","3","2.6","1.1","0.1","0","3","0",2009
"876","Klay Thompson","FR","G","Washington State","33","1092","138","62","30","20","70","67","414","0.421","0.427","0.412","0.903","12.5","4.2","1.9","0.9","0.6","0","4","0",2009
"877","Nikola Vucevic","FR","F","Southern California","23","254","61","7","9","9","14","34","59","0.578","0.619","0","0.875","2.6","2.7","0.3","0.4","0.4","0","1","0",2009
"878","Justin Jackson","SR","G","Tennessee","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2009
"879","Jodie Meeks","JR","G","Kentucky","36","1237","122","63","48","5","96","69","854","0.463","0.521","0.406","0.902","23.7","3.4","1.8","1.3","0.1","0","7.4","0",2009
"880","Darius Miller","FR","G","Kentucky","36","764","111","72","27","22","64","92","191","0.41","0.449","0.333","0.804","5.3","3.1","2","0.8","0.6","0","1.6","0",2009
"881","Chandler Parsons","SO","F","Florida","36","937","204","64","38","14","50","85","332","0.46","0.587","0.301","0.557","9.2","5.7","1.8","1.1","0.4","0","3.2","0",2009
"882","Patrick Patterson","SO","F","Kentucky","34","1147","316","67","21","70","66","76","609","0.603","0.605","0","0.768","17.9","9.3","2","0.6","2.1","0","6.8","0",2009
"883","Marcus Thornton","SR","G","Louisiana State","35","1116","192","75","56","13","64","72","739","0.472","0.522","0.388","0.745","21.1","5.5","2.1","1.6","0.4","0","6.6","0",2009
"884","Austin Daye","SO","F","Gonzaga","34","895","232","37","24","70","73","97","431","0.477","0.494","0.429","0.706","12.7","6.8","1.1","0.7","2.1","0","5.7","0",2009
"885","Al-Farouq Aminu","SO","F","Wake Forest","31","970","332","41","44","44","99","91","491","0.447","0.484","0.273","0.698","15.8","10.7","1.3","1.4","1.4","24.4","4.3","0",2010
"886","Devin Booker","FR","F","Clemson","32","370","94","10","12","4","30","41","144","0.561","0.566","0","0.533","4.5","2.9","0.3","0.4","0.1","16.9","1.3","0",2010
"887","Trevor Booker","SR","F","Clemson","32","984","268","81","43","45","62","63","486","0.521","0.547","0.265","0.591","15.2","8.4","2.5","1.3","1.4","26.4","5.5","0",2010
"888","Ed Davis","SO","F","North Carolina","23","641","220","22","10","64","46","42","309","0.578","0.578","0","0.659","13.4","9.6","1","0.4","2.8","26.4","3.1","0",2010
"889","Derrick Favors","FR","F","Georgia Tech","36","989","303","37","32","74","90","94","448","0.611","0.613","0","0.629","12.4","8.4","1","0.9","2.1","24.5","4.8","0",2010
"890","John Henson","FR","F","North Carolina","37","586","164","34","27","58","45","39","212","0.486","0.515","0.222","0.438","5.7","4.4","0.9","0.7","1.6","20.3","1.8","0",2010
"891","Reggie Jackson","SO","G","Boston College","31","934","176","139","19","14","80","62","399","0.43","0.498","0.291","0.733","12.9","5.7","4.5","0.6","0.5","20.2","3.4","0",2010
"892","Ryan Kelly","FR","F","Duke","35","227","38","13","8","14","8","34","41","0.356","0.423","0.263","0.667","1.2","1.1","0.4","0.2","0.4","10.4","0.7","0",2010
"893","Mason Plumlee","FR","F","Duke","34","480","105","30","18","30","32","73","125","0.462","0.48","0.25","0.543","3.7","3.1","0.9","0.5","0.9","14.8","1.7","0",2010
"894","Mike Scott","JR","F","Virginia","28","768","201","35","17","8","46","54","335","0.505","0.507","0.429","0.719","12","7.2","1.3","0.6","0.3","21.5","2.7","0",2010
"895","Iman Shumpert","SO","G","Georgia Tech","30","904","108","120","58","5","92","69","299","0.385","0.421","0.333","0.72","10","3.6","4","1.9","0.2","13.9","2.5","0",2010
"896","Kyle Singler","JR","F","Duke","40","1436","280","96","41","32","79","86","707","0.415","0.424","0.399","0.798","17.7","7","2.4","1","0.8","23","8.2","0",2010
"897","Greivis Vasquez","SR","G","Maryland","33","1120","153","208","56","12","111","69","647","0.429","0.47","0.359","0.857","19.6","4.6","6.3","1.7","0.4","25.6","5.8","0",2010
"898","Tyler Zeller","SO","F","North Carolina","27","468","125","7","14","24","34","49","252","0.521","0.526","0","0.722","9.3","4.6","0.3","0.5","0.9","23.1","1.9","0",2010
"899","Lavoy Allen","JR","F","Temple","35","1206","375","83","19","50","53","78","402","0.536","0.561","0.217","0.625","11.5","10.7","2.4","0.5","1.4","23.2","6.4","0",2010
"900","Jordan Crawford","SO","G","Xavier","35","1147","166","101","47","7","85","57","718","0.462","0.501","0.391","0.773","20.5","4.7","2.9","1.3","0.2","25.4","5.9","0",2010
"901","Andrew Nicholson","SO","F","St. Bonaventure","30","907","213","15","6","55","55","90","491","0.564","0.564","0","0.76","16.4","7.1","0.5","0.2","1.8","24.4","3.9","0",2010
"902","Quincy Acy","SO","F","Baylor","36","840","185","11","17","28","45","84","335","0.697","0.697","0","0.716","9.3","5.1","0.3","0.5","0.8","21.7","3.9","0",2010
