"","pk","Player","Yr","Yrs","allstar","PC1","College","rank","Class","Pos","School","G","MP","TRB","AST","STL","BLK","TOV","PF","PTS","FG.","X2P.","X3P.","FT.","PPG","RPG","APG","SPG","BPG","Year"
"17",19,"Landry Shamet",2018,2,0,-2.103282711,"Wichita State","Non-Lottery","SO","G","Wichita State",32,1015,103,166,23,6,67,61,477,0.489,0.56,0.442,0.825,14.9,3.2,5.2,0.7,0.2,2018
"18",21,"Kevin Knox",2018,2,0,-2.318212251,"Kentucky","Non-Lottery","FR","F","Kentucky",37,1198,200,53,31,10,85,82,576,0.445,0.509,0.341,0.774,15.6,5.4,1.4,0.8,0.3,2018
"19",11,"Kevin Huerter",2018,2,0,-0.021027159,"Maryland","Lottery","SO","G","Maryland",32,1101,161,108,20,21,80,76,472,0.503,0.605,0.417,0.758,14.8,5,3.4,0.6,0.7,2018
"21",15,"Josh Okogie",2018,2,0,-1.422854599,"Georgia Tech","Non-Lottery","SO","G","Georgia Tech",24,873,150,59,42,23,61,70,437,0.416,0.432,0.38,0.821,18.2,6.3,2.5,1.8,1,2018
"23",30,"Jevon Carter",2018,2,0,-5.393217586,"West Virginia","Non-Lottery","SR","G","West Virginia",37,1313,172,246,112,13,98,111,640,0.422,0.441,0.393,0.858,17.3,4.6,6.6,3,0.4,2018
"27",5,"Jaren Jackson Jr.",2018,2,0,3.466401019,"Michigan State","Top 5","FR","F","Michigan State",35,764,203,39,21,106,62,112,382,0.513,0.596,0.396,0.797,10.9,5.8,1.1,0.6,3,2018
"28",14,"Jalen Brunson",2018,2,0,-1.408420679,"Villanova","Lottery","JR","G","Villanova",40,1272,122,184,37,1,71,78,756,0.521,0.599,0.408,0.802,18.9,3.1,4.6,0.9,0,2018
"31",27,"Hamidou Diallo",2018,2,0,-4.975174788,"Kentucky","Non-Lottery","FR","G","Kentucky",37,918,135,46,28,13,51,96,371,0.428,0.458,0.338,0.616,10,3.6,1.2,0.8,0.4,2018
"32",13,"Donte DiVincenzo",2018,2,0,-1.033936849,"Villanova","Lottery","SO","G","Villanova",40,1170,190,139,42,8,79,83,537,0.481,0.575,0.401,0.71,13.4,4.8,3.5,1.1,0.2,2018
"35",9,"Devonte' Graham",2018,2,0,0.297122128,"Kansas","Top 10","SR","G","Kansas",39,1474,157,282,62,2,109,56,675,0.4,0.392,0.406,0.827,17.3,4,7.2,1.6,0.1,2018
"39",3,"Deandre Ayton",2018,2,0,7.667127359,"Arizona","Top 3","FR","F","Arizona",35,1172,405,57,20,66,69,81,704,0.612,0.635,0.343,0.733,20.1,11.6,1.6,0.6,1.9,2018
"40",20,"De'Anthony Melton",2018,2,0,-2.107961858,"USC","Non-Lottery","FR","G","Southern California",36,972,170,125,69,37,64,81,300,0.437,0.51,0.284,0.706,8.3,4.7,3.5,1.9,1,2017
"41",7,"Collin Sexton",2018,2,0,3.345463056,"Alabama","Top 10","FR","G","Alabama",33,987,124,119,28,3,92,81,632,0.447,0.495,0.336,0.778,19.2,3.8,3.6,0.8,0.1,2018
"42",25,"Chandler Hutchison",2018,2,0,-3.299667327,"Boise State","Non-Lottery","SR","G","Boise State",31,961,238,107,46,8,104,74,619,0.475,0.523,0.359,0.728,20,7.7,3.5,1.5,0.3,2018
"45",18,"Bruce Brown",2018,2,0,-2.005277149,"Miami (FL)","Non-Lottery","SO","G","Miami (FL)",19,640,135,76,25,15,43,43,216,0.415,0.484,0.267,0.629,11.4,7.1,4,1.3,0.8,2018
"47",23,"Aaron Holiday",2018,2,0,-2.977391594,"UCLA","Non-Lottery","JR","G","UCLA",33,1244,121,192,42,8,125,87,671,0.461,0.486,0.429,0.828,20.3,3.7,5.8,1.3,0.2,2018
