"","Player","p.G","p.MP","p.FG","p.FGA","p.FG.","p.X3P","p.X3PA","p.X3P.","p.X2P","p.X2PA","p.X2P.","p.eFG.","p.FT","p.FTA","p.FT.","p.ORB","p.DRB","p.TRB","p.AST","p.STL","p.BLK","p.TOV","p.PF","p.PTS","p.PER"
"360","Jordan Farmar",201,21.6791044776119,3.27661691542289,7.90298507462687,0.411840796019901,1.41990049751244,3.65223880597015,0.391009950248756,1.85671641791045,4.29303482587065,0.432328358208955,0.50310447761194,1.01641791044776,1.20597014925373,0.848084577114428,0.303482587064677,1.67462686567164,2.03233830845771,3.98109452736318,0.775621890547264,0.12636815920398,1.73980099502488,1.59054726368159,8.93781094527363,14.6559082960413
"361","Aaron Brooks",280,26.7517857142857,4.74964285714286,11.7289285714286,0.401367857142857,1.63535714285714,4.67964285714286,0.347482142857143,3.09464285714286,7.04928571428571,0.436007142857143,0.469946428571429,2.30392857142857,2.68535714285714,0.861046428571429,0.454642857142857,1.46178571428571,1.88714285714286,4.0675,0.649642857142857,0.120357142857143,1.99035714285714,2.04964285714286,13.4603571428571,14.8419785061077
"362","Aaron Gray",154,12.7844155844156,1.4538961038961,2.7538961038961,0.527857142857143,0,0,0,1.4538961038961,2.7538961038961,0.527857142857143,0.527857142857143,0.530519480519481,0.905194805194805,0.599168831168831,1.50064935064935,2.78636363636364,4.31363636363636,0.583116883116883,0.331818181818182,0.315584415584416,0.77012987012987,2.14090909090909,3.43246753246753,12.7708720032507
"363","Al Horford",329,32.9981762917933,6.82553191489362,13.0574468085106,0.520021276595745,0.574772036474164,1.68996960486322,0.374346504559271,6.22826747720365,11.3674772036474,0.546267477203647,0.543838905775076,1.55927051671733,2.13647416413374,0.744541033434651,1.91823708206687,5.98145896656535,7.92279635258359,3.51914893617021,0.899392097264438,1.32249240121581,1.61945288753799,1.94376899696049,15.7465045592705,21.1576612320844
"364","Al Thornton",300,29.8883333333333,4.94166666666667,10.8993333333333,0.455073333333333,0.268666666666667,0.888666666666667,0.32472,4.648,10.0106666666667,0.4665,0.468413333333333,2.5,3.38833333333333,0.736843333333333,1.48633333333333,2.89433333333333,4.38066666666667,1.271,0.646333333333333,0.577666666666667,1.53833333333333,2.77466666666667,12.6703333333333,12.5811411476051
"365","Arron Afflalo",346,34.021098265896,5.42630057803468,11.9066473988439,0.457338150289017,1.47138728323699,3.90028901734104,0.381057803468208,3.95491329479769,8.04739884393063,0.494494219653179,0.52078901734104,2.80231213872832,3.37687861271676,0.832416184971098,0.491618497109827,2.96300578034682,3.45664739884393,2.60115606936416,0.536416184971098,0.17514450867052,1.61734104046243,2.09566473988439,15.1265895953757,13.9252436774188
"366","Brandan Wright",273,18.2128205128205,3.45750915750916,5.36263736263736,0.645062271062271,0,0,0,3.45750915750916,5.34468864468864,0.647912087912088,0.645062271062271,1.08791208791209,1.62930402930403,0.67759706959707,1.57545787545788,2.48754578754579,4.08644688644689,0.477655677655678,0.544688644688645,1.22124542124542,0.503296703296703,1.37948717948718,8.04029304029304,22.1684041752982
"367","Carl Landry",289,28.8930795847751,5.44671280276817,10.461937716263,0.519418685121107,0,0.0543252595155709,0.124442906574394,5.44671280276817,10.4522491349481,0.521131487889273,0.519792387543253,3.64602076124567,4.70346020761246,0.772695501730104,2.32941176470588,3.01314878892734,5.34256055363322,0.8280276816609,0.622145328719723,0.620069204152249,1.59411764705882,2.73079584775086,14.6031141868512,17.6605000538915
"368","Corey Brewer",323,27.1882352941176,4.48916408668731,10.2526315789474,0.43946439628483,0.848606811145511,3.04272445820433,0.275467492260062,3.65789473684211,7.15975232198142,0.507102167182663,0.480758513931889,1.99628482972136,2.75170278637771,0.724092879256966,0.878637770897833,2.35727554179567,3.21857585139319,1.89195046439628,1.54024767801858,0.292879256965944,1.42569659442724,2.21919504643963,11.8479876160991,14.5762631806691
"369","Daequan Cook",279,19.9,2.51397849462366,6.76451612903226,0.37536917562724,1.47491039426523,4.09426523297491,0.361096774193548,1.03906810035842,2.67025089605735,0.407544802867384,0.491501792114695,0.540501792114695,0.655197132616487,0.798394265232975,0.248028673835125,2.06666666666667,2.28781362007168,0.816487455197133,0.395340501792115,0.142293906810036,0.597491039426523,1.63548387096774,7.10035842293907,9.23473159705338
