"","conf","Yr","count","link"
"186","pac-12",2014,5,"https://www.sports-reference.com/cbb/conferences/pac-12/2014-stats.html"
"187","sec",2014,2,"https://www.sports-reference.com/cbb/conferences/sec/2014-stats.html"
"188","sun-belt",2014,1,"https://www.sports-reference.com/cbb/conferences/sun-belt/2014-stats.html"
"189","acc",2015,7,"https://www.sports-reference.com/cbb/conferences/acc/2015-stats.html"
"190","big-12",2015,2,"https://www.sports-reference.com/cbb/conferences/big-12/2015-stats.html"
"191","big-ten",2015,3,"https://www.sports-reference.com/cbb/conferences/big-ten/2015-stats.html"
"192","mac",2015,1,"https://www.sports-reference.com/cbb/conferences/mac/2015-stats.html"
"193","mwc",2015,1,"https://www.sports-reference.com/cbb/conferences/mwc/2015-stats.html"
"194","pac-12",2015,5,"https://www.sports-reference.com/cbb/conferences/pac-12/2015-stats.html"
"195","sec",2015,6,"https://www.sports-reference.com/cbb/conferences/sec/2015-stats.html"
"196","acc",2016,3,"https://www.sports-reference.com/cbb/conferences/acc/2016-stats.html"
"197","atlantic-10",2016,1,"https://www.sports-reference.com/cbb/conferences/atlantic-10/2016-stats.html"
"198","big-12",2016,4,"https://www.sports-reference.com/cbb/conferences/big-12/2016-stats.html"
"199","big-east",2016,2,"https://www.sports-reference.com/cbb/conferences/big-east/2016-stats.html"
"200","big-ten",2016,3,"https://www.sports-reference.com/cbb/conferences/big-ten/2016-stats.html"
"201","mwc",2016,1,"https://www.sports-reference.com/cbb/conferences/mwc/2016-stats.html"
"202","pac-12",2016,4,"https://www.sports-reference.com/cbb/conferences/pac-12/2016-stats.html"
"203","sec",2016,4,"https://www.sports-reference.com/cbb/conferences/sec/2016-stats.html"
"204","wac",2016,1,"https://www.sports-reference.com/cbb/conferences/wac/2016-stats.html"
"205","wcc",2016,1,"https://www.sports-reference.com/cbb/conferences/wcc/2016-stats.html"
"206","aac",2017,2,"https://www.sports-reference.com/cbb/conferences/aac/2017-stats.html"
"207","acc",2017,8,"https://www.sports-reference.com/cbb/conferences/acc/2017-stats.html"
"208","big-12",2017,4,"https://www.sports-reference.com/cbb/conferences/big-12/2017-stats.html"
"209","big-east",2017,1,"https://www.sports-reference.com/cbb/conferences/big-east/2017-stats.html"
"210","big-ten",2017,2,"https://www.sports-reference.com/cbb/conferences/big-ten/2017-stats.html"
"211","pac-12",2017,7,"https://www.sports-reference.com/cbb/conferences/pac-12/2017-stats.html"
"212","sec",2017,3,"https://www.sports-reference.com/cbb/conferences/sec/2017-stats.html"
"213","wcc",2017,1,"https://www.sports-reference.com/cbb/conferences/wcc/2017-stats.html"
"214","aac",2018,1,"https://www.sports-reference.com/cbb/conferences/aac/2018-stats.html"
"215","acc",2018,4,"https://www.sports-reference.com/cbb/conferences/acc/2018-stats.html"
"216","big-12",2018,5,"https://www.sports-reference.com/cbb/conferences/big-12/2018-stats.html"
"217","big-east",2018,4,"https://www.sports-reference.com/cbb/conferences/big-east/2018-stats.html"
"218","big-ten",2018,3,"https://www.sports-reference.com/cbb/conferences/big-ten/2018-stats.html"
"219","mwc",2018,1,"https://www.sports-reference.com/cbb/conferences/mwc/2018-stats.html"
"220","pac-12",2018,4,"https://www.sports-reference.com/cbb/conferences/pac-12/2018-stats.html"
"221","sec",2018,4,"https://www.sports-reference.com/cbb/conferences/sec/2018-stats.html"
"222","acc",2019,9,"https://www.sports-reference.com/cbb/conferences/acc/2019-stats.html"
"223","big-12",2019,2,"https://www.sports-reference.com/cbb/conferences/big-12/2019-stats.html"
"224","big-east",2019,1,"https://www.sports-reference.com/cbb/conferences/big-east/2019-stats.html"
"225","big-ten",2019,4,"https://www.sports-reference.com/cbb/conferences/big-ten/2019-stats.html"
"226","mwc",2019,2,"https://www.sports-reference.com/cbb/conferences/mwc/2019-stats.html"
"227","ovc",2019,1,"https://www.sports-reference.com/cbb/conferences/ovc/2019-stats.html"
"228","pac-12",2019,2,"https://www.sports-reference.com/cbb/conferences/pac-12/2019-stats.html"
"229","sec",2019,4,"https://www.sports-reference.com/cbb/conferences/sec/2019-stats.html"
"230","wcc",2019,2,"https://www.sports-reference.com/cbb/conferences/wcc/2019-stats.html"
